SessionID,ParticipantCode,FinalPageVisited,GroupID,ID_in_Group,Treatment,Round,SubgroupID,ID_in_Subgroup,S1,S2,S3,SelfProposal,Selected_Proposal,Vote,Approved,Num_of_Approvals,Earnings,CompletionCode
9,urggnryi,VoterPage,59,5,Baseline,2,2.0,2.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 0, ""s2"": 15, ""s3"": 15}}, ""3"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",0,0,1,0.0,
9,urggnryi,VoterPage,59,5,Baseline,3,2.0,3.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 15, ""s2"": 15, ""s3"": 0}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",0,0,0,0.0,
10,9kmvxh8k,Part3,46,5,Priming,1,2.0,3.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 3, ""proposal"": {""s1"": 0, ""s2"": 0, ""s3"": 30}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
10,9kmvxh8k,Part3,46,5,Priming,2,3.0,2.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 20, ""s2"": 5, ""s3"": 5}}}",0,1,3,0.0,
10,9kmvxh8k,Part3,46,5,Priming,3,3.0,2.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 8, ""s2"": 15, ""s3"": 7}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
11,3o6mlsyr,Part6,37,3,Baseline,1,2.0,2.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
11,3o6mlsyr,Part6,37,3,Baseline,2,1.0,3.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
11,3o6mlsyr,Part6,37,3,Baseline,3,1.0,1.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
12,lte762ld,SyncBottom,6,7,Baseline,1,3.0,2.0,15.0,0.0,15.0,15.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 20, ""s2"": 5, ""s3"": 5}}}",1,1,3,5.0,
12,lte762ld,SyncBottom,6,7,Baseline,2,1.0,2.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 5, ""s2"": 20, ""s3"": 5}}}",1,1,2,10.0,
