Timestamp,Session_Code,Participant_ID,Group_ID,Prolific_ID,Period,Player_ID,Treatment
2025-05-07T06:26:23.658431,8lwttdbm,1,1,NA,0,1,baseline
2025-05-07T06:26:23.661623,8lwttdbm,2,1,NA,0,2,priming
2025-05-07T06:26:23.662177,8lwttdbm,3,1,NA,0,3,baseline
2025-05-07T06:26:23.662708,8lwttdbm,4,2,NA,0,1,priming
2025-05-07T06:26:23.666339,8lwttdbm,5,2,NA,0,2,baseline
2025-05-07T06:26:23.668553,8lwttdbm,6,2,NA,0,3,baseline
2025-05-07T06:26:23.669105,8lwttdbm,7,3,NA,0,1,priming
2025-05-07T06:26:23.670959,8lwttdbm,8,3,NA,0,2,baseline
2025-05-07T06:26:23.671522,8lwttdbm,9,3,NA,0,3,priming
2025-05-07T06:26:23.672037,8lwttdbm,10,4,NA,0,1,baseline
2025-05-07T06:26:23.700675,8lwttdbm,11,4,NA,0,2,priming
2025-05-07T06:26:23.701592,8lwttdbm,12,4,NA,0,3,priming
2025-05-07T06:26:23.704304,8lwttdbm,1,1,NA,0,1,baseline
2025-05-07T06:26:23.705088,8lwttdbm,2,1,NA,0,2,priming
2025-05-07T06:26:23.705216,8lwttdbm,3,1,NA,0,3,baseline
2025-05-07T06:26:23.705327,8lwttdbm,4,2,NA,0,1,priming
2025-05-07T06:26:23.707874,8lwttdbm,5,2,NA,0,2,baseline
2025-05-07T06:26:23.708015,8lwttdbm,6,2,NA,0,3,baseline
2025-05-07T06:26:23.708782,8lwttdbm,7,3,NA,0,1,priming
2025-05-07T06:26:23.709557,8lwttdbm,8,3,NA,0,2,baseline
2025-05-07T06:26:23.709796,8lwttdbm,9,3,NA,0,3,priming
2025-05-07T06:26:23.709929,8lwttdbm,10,4,NA,0,1,baseline
2025-05-07T06:26:23.710577,8lwttdbm,11,4,NA,0,2,priming
2025-05-07T06:26:23.710691,8lwttdbm,12,4,NA,0,3,priming
2025-05-07T06:26:23.720747,8lwttdbm,1,1,NA,0,1,baseline
2025-05-07T06:26:23.721256,8lwttdbm,2,1,NA,0,2,priming
2025-05-07T06:26:23.721378,8lwttdbm,3,1,NA,0,3,baseline
2025-05-07T06:26:23.721494,8lwttdbm,4,2,NA,0,1,priming
2025-05-07T06:26:23.722098,8lwttdbm,5,2,NA,0,2,baseline
2025-05-07T06:26:23.722214,8lwttdbm,6,2,NA,0,3,baseline
2025-05-07T06:26:23.722318,8lwttdbm,7,3,NA,0,1,priming
2025-05-07T06:26:23.723780,8lwttdbm,8,3,NA,0,2,baseline
2025-05-07T06:26:23.723913,8lwttdbm,9,3,NA,0,3,priming
2025-05-07T06:26:23.724039,8lwttdbm,10,4,NA,0,1,baseline
2025-05-07T06:26:23.724683,8lwttdbm,11,4,NA,0,2,priming
2025-05-07T06:26:23.724802,8lwttdbm,12,4,NA,0,3,priming
2025-05-07T06:26:23.726753,8lwttdbm,1,1,NA,0,1,baseline
2025-05-07T06:26:23.727204,8lwttdbm,2,1,NA,0,2,priming
2025-05-07T06:26:23.727320,8lwttdbm,3,1,NA,0,3,baseline
2025-05-07T06:26:23.727423,8lwttdbm,4,2,NA,0,1,priming
2025-05-07T06:26:23.727999,8lwttdbm,5,2,NA,0,2,baseline
2025-05-07T06:26:23.728114,8lwttdbm,6,2,NA,0,3,baseline
2025-05-07T06:26:23.728216,8lwttdbm,7,3,NA,0,1,priming
2025-05-07T06:26:23.728769,8lwttdbm,8,3,NA,0,2,baseline
2025-05-07T06:26:23.728886,8lwttdbm,9,3,NA,0,3,priming
2025-05-07T06:26:23.728987,8lwttdbm,10,4,NA,0,1,baseline
2025-05-07T06:26:23.729534,8lwttdbm,11,4,NA,0,2,priming
2025-05-07T06:26:23.729654,8lwttdbm,12,4,NA,0,3,priming
2025-05-07T06:26:23.731503,8lwttdbm,1,1,NA,0,1,baseline
2025-05-07T06:26:23.731943,8lwttdbm,2,1,NA,0,2,priming
2025-05-07T06:26:23.732059,8lwttdbm,3,1,NA,0,3,baseline
2025-05-07T06:26:23.732160,8lwttdbm,4,2,NA,0,1,priming
2025-05-07T06:26:23.732722,8lwttdbm,5,2,NA,0,2,baseline
2025-05-07T06:26:23.732838,8lwttdbm,6,2,NA,0,3,baseline
2025-05-07T06:26:23.732949,8lwttdbm,7,3,NA,0,1,priming
2025-05-07T06:26:23.733515,8lwttdbm,8,3,NA,0,2,baseline
2025-05-07T06:26:23.733626,8lwttdbm,9,3,NA,0,3,priming
